xflr5 v6.47

Plane Name
T1-82.3 m/s-LLT-1.0kg-x0.0m
QInf  =,   82.310000 ,m/s
Alpha = , -12.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,  -1.011293
Cy    = ,   0.000000
Cd=,   0.041103,ICd=,    0.030645,PCd=,    0.010458
Cl   = , 1.4716e-16
Cm   =,    0.266954
ICn=,    0.000000,PCn=,    0.000000
XCP=,    0.403874, YCP=,    0.000000, ZCP=,    0.000000 
XNP=,    0.000000
Bending =, -123636.449236

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -7.0590,   0.3113,  3.826,-1.140658, 0.022314, 0.076174, 4.161394,-0.049389, 1.0000, 0.0052, 0.1916, 0.0000
   -6.7972,   0.5413,  2.670,-1.240645, 0.022261, 0.057805, 1.988148,-0.051892, 1.0000, 0.0050, 0.1911,-67.4714
   -6.3680,   0.9907,  3.989,-0.997704, 0.010265, 0.069456, 0.502065,-0.012430, 0.8407, 0.0052, 0.2281,-591.2911
   -5.7820,   1.1321,  2.448,-1.015363, 0.010201, 0.043384, 0.325780,-0.015591, 0.8404, 0.0054, 0.2238,-2526.4417
   -5.0537,   1.2039,  1.863,-1.048962, 0.010520, 0.034111, 0.309284,-0.022154, 0.8481, 0.0059, 0.2160,-7214.9631
   -4.2009,   1.2880,  1.554,-1.051968, 0.010538, 0.028538, 0.284855,-0.029243, 0.8340, 0.0065, 0.2079,-16237.5604
   -3.2447,   1.3822,  1.406,-1.034642, 0.010379, 0.025395, 0.255817,-0.037158, 0.8129, 0.0072, 0.1990,-31217.4392
   -2.2085,   1.4843,  1.354,-1.004807, 0.010108, 0.023737, 0.224921,-0.045701, 0.7912, 0.0079, 0.1893,-53574.1617
   -1.1180,   1.5918,  1.374,-0.965494, 0.009768, 0.023149, 0.193377,-0.054692, 0.7699, 0.0086, 0.1788,-84280.8202
   -0.0000,   1.7020,  1.477,-0.916450, 0.009357, 0.023624, 0.161393,-0.063940, 0.7466, 0.0094, 0.1676,-123636.4492
    1.1180,   1.5918,  1.374,-0.965494, 0.009768, 0.023149, 0.193377,-0.054692, 0.7699, 0.0086, 0.1788,-84280.8202
    2.2085,   1.4843,  1.354,-1.004807, 0.010108, 0.023737, 0.224921,-0.045701, 0.7912, 0.0079, 0.1893,-53574.1617
    3.2447,   1.3822,  1.406,-1.034642, 0.010379, 0.025395, 0.255817,-0.037158, 0.8129, 0.0072, 0.1990,-31217.4392
    4.2009,   1.2880,  1.554,-1.051968, 0.010538, 0.028538, 0.284855,-0.029243, 0.8340, 0.0065, 0.2079,-16237.5604
    5.0537,   1.2039,  1.863,-1.048962, 0.010520, 0.034111, 0.309284,-0.022154, 0.8481, 0.0059, 0.2160,-7214.9631
    5.7820,   1.1321,  2.448,-1.015363, 0.010201, 0.043384, 0.325780,-0.015591, 0.8404, 0.0054, 0.2238,-2526.4417
    6.3680,   0.9907,  3.989,-0.997704, 0.010265, 0.069456, 0.502065,-0.012430, 0.8407, 0.0052, 0.2281,-591.2911
    6.7972,   0.5413,  2.670,-1.240645, 0.022261, 0.057805, 1.988148,-0.051892, 1.0000, 0.0050, 0.1911,-67.4714
    7.0590,   0.3113,  3.826,-1.140658, 0.022314, 0.076174, 4.161394,-0.049389, 1.0000, 0.0052, 0.1916, 0.0000




