xflr5 v6.47

Plane Name
T1-82.3 m/s-LLT-1.0kg-x0.0m
QInf  =,   82.310000 ,m/s
Alpha = ,  21.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.530505
Cy    = ,   0.000000
Cd=,   0.108453,ICd=,    0.069699,PCd=,    0.038755
Cl   = ,1.45825e-16
Cm   =,   -0.573709
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.420278, YCP=,    0.000000, ZCP=,    0.000000 
XNP=,    0.000000
Bending =, 178608.322195

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -7.0590,   0.3113, -2.659, 1.231616, 0.021980, 0.057155,-6.577017, 0.019733, 0.0053, 1.0000, 0.2188, 0.0000
   -6.7972,   0.5413,  1.825, 1.347864, 0.043844,-0.042928,-3.364694, 0.037502, 0.0042, 1.0000, 0.1980,72.8517
   -6.3680,   0.9907, -6.438, 1.387362, 0.015486, 0.155894,-1.004171,-0.000732, 0.0042, 1.0000, 0.2352,641.2023
   -5.7820,   1.1321, -4.165, 1.477209, 0.027056, 0.107391,-0.735650, 0.027798, 0.0041, 1.0000, 0.2091,3113.6103
   -5.0537,   1.2039, -2.265, 1.497099, 0.040466, 0.059183,-0.678010, 0.030813, 0.0041, 1.0000, 0.2024,9508.4547
   -4.2009,   1.2880, -1.821, 1.517001, 0.044406, 0.048206,-0.614058, 0.026228, 0.0042, 1.0000, 0.2039,22038.2829
   -3.2447,   1.3822, -1.829, 1.541669, 0.044335, 0.049208,-0.551032, 0.020399, 0.0042, 1.0000, 0.2074,43100.4861
   -2.2085,   1.4843, -2.084, 1.563067, 0.042602, 0.056844,-0.489831, 0.013722, 0.0043, 1.0000, 0.2119,75049.4031
   -1.1180,   1.5918, -2.482, 1.575585, 0.040724, 0.068251,-0.432342, 0.006015, 0.0043, 1.0000, 0.2173,119838.9113
   -0.0000,   1.7020, -3.899, 1.566382, 0.032646, 0.106606,-0.381975,-0.005292, 0.0048, 1.0000, 0.2272,178608.3222
    1.1180,   1.5918, -2.482, 1.575585, 0.040724, 0.068251,-0.432342, 0.006015, 0.0043, 1.0000, 0.2173,119838.9113
    2.2085,   1.4843, -2.084, 1.563067, 0.042602, 0.056844,-0.489831, 0.013722, 0.0043, 1.0000, 0.2119,75049.4031
    3.2447,   1.3822, -1.829, 1.541669, 0.044335, 0.049208,-0.551032, 0.020399, 0.0042, 1.0000, 0.2074,43100.4861
    4.2009,   1.2880, -1.821, 1.517001, 0.044406, 0.048206,-0.614058, 0.026228, 0.0042, 1.0000, 0.2039,22038.2829
    5.0537,   1.2039, -2.265, 1.497099, 0.040466, 0.059183,-0.678010, 0.030813, 0.0041, 1.0000, 0.2024,9508.4547
    5.7820,   1.1321, -4.165, 1.477209, 0.027056, 0.107391,-0.735650, 0.027798, 0.0041, 1.0000, 0.2091,3113.6103
    6.3680,   0.9907, -6.438, 1.387362, 0.015486, 0.155894,-1.004171,-0.000732, 0.0042, 1.0000, 0.2352,641.2023
    6.7972,   0.5413,  1.825, 1.347864, 0.043844,-0.042928,-3.364694, 0.037502, 0.0042, 1.0000, 0.1980,72.8517
    7.0590,   0.3113, -2.659, 1.231616, 0.021980, 0.057155,-6.577017, 0.019733, 0.0053, 1.0000, 0.2188, 0.0000




