xflr5 v6.47

Plane name :, Plane Name
Polar name :, T1-82.3 m/s-LLT-1.0kg-x0.0m
Freestream speed :, 82.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -12.500,     0.000,  -1.011293,   0.030645,   0.010458,   0.041103,   0.000000,   0.000000,   0.266954,   0.000000,   0.000000,   82.3100,    0.4039
  -12.000,     0.000,  -0.968682,   0.028308,   0.010034,   0.038341,   0.000000,   0.000000,   0.256705,   0.000000,   0.000000,   82.3100,    0.4030
  -11.500,     0.000,  -0.925935,   0.026014,   0.009657,   0.035671,   0.000000,   0.000000,   0.246192,   0.000000,   0.000000,   82.3100,    0.4020
  -11.000,     0.000,  -0.881230,   0.023759,   0.009307,   0.033066,   0.000000,   0.000000,   0.234527,   0.000000,   0.000000,   82.3100,    0.3998
  -10.500,     0.000,  -0.835896,   0.021508,   0.008975,   0.030483,   0.000000,   0.000000,   0.222231,   0.000000,   0.000000,   82.3100,    0.3966
  -10.000,     0.000,  -0.790234,   0.019306,   0.008658,   0.027964,   0.000000,   0.000000,   0.209490,   0.000000,   0.000000,   82.3100,    0.3931
   -9.500,     0.000,  -0.743866,   0.017219,   0.008385,   0.025604,   0.000000,   0.000000,   0.196253,   0.000000,   0.000000,   82.3100,    0.3881
   -9.000,     0.000,  -0.697404,   0.015254,   0.008119,   0.023373,   0.000000,   0.000000,   0.182798,   0.000000,   0.000000,   82.3100,    0.3830
   -8.500,     0.000,  -0.650380,   0.013401,   0.007865,   0.021266,   0.000000,   0.000000,   0.168900,   0.000000,   0.000000,   82.3100,    0.3738
   -8.000,     0.000,  -0.603124,   0.011654,   0.007629,   0.019283,   0.000000,   0.000000,   0.154690,   0.000000,   0.000000,   82.3100,    0.3629
   -7.500,     0.000,  -0.555555,   0.010036,   0.007413,   0.017449,   0.000000,   0.000000,   0.140179,   0.000000,   0.000000,   82.3100,    0.3513
   -7.000,     0.000,  -0.507887,   0.008535,   0.007208,   0.015743,   0.000000,   0.000000,   0.125426,   0.000000,   0.000000,   82.3100,    0.3396
   -6.500,     0.000,  -0.460045,   0.007166,   0.007013,   0.014179,   0.000000,   0.000000,   0.110427,   0.000000,   0.000000,   82.3100,    0.3254
   -6.000,     0.000,  -0.411902,   0.005924,   0.006837,   0.012761,   0.000000,   0.000000,   0.095109,   0.000000,   0.000000,   82.3100,    0.2981
   -5.500,     0.000,  -0.363745,   0.004814,   0.006661,   0.011475,   0.000000,   0.000000,   0.079609,   0.000000,   0.000000,   82.3100,    0.2674
